player_id,stat,line,book,model_p_over_morning,market_no_vig_over_prob_morning,edge_morning,model_p_over_close,market_no_vig_over_prob_close,edge_close,clv_close_minus_morning_p,clv_book_close_minus_morning_p,model_edge_movement
192,ast,6.5,betmgm,0.38674807326593935,0.5346534653465347,-0.14790539208059533,0.38674807326593935,0.5346534653465347,-0.14790539208059533,-0.14790539208059533,0.0,0.0
192,ast,6.5,betonlineag,0.38674807326593935,0.5435460883633142,-0.15679801509737484,0.38674807326593935,0.5435460883633142,-0.15679801509737484,-0.15679801509737484,0.0,0.0
192,ast,6.5,betrivers,0.38674807326593935,0.519771442128989,-0.1330233688630496,0.38674807326593935,0.519771442128989,-0.1330233688630496,-0.1330233688630496,0.0,0.0
192,ast,5.5,bovada,0.5308777900110099,0.6705882352941177,-0.13971044528310783,0.5308777900110099,0.6705882352941177,-0.13971044528310783,-0.13971044528310783,0.0,0.0
192,ast,6.5,bovada,0.38674807326593935,0.5306122448979592,-0.14386417163201987,0.38674807326593935,0.5306122448979592,-0.14386417163201987,-0.14386417163201987,0.0,0.0
192,ast,7.5,bovada,0.2534280852767491,0.3982930298719772,-0.14486494459522808,0.2534280852767491,0.3982930298719773,-0.1448649445952282,-0.14486494459522808,1.1102230246251565e-16,-1.1102230246251565e-16
192,ast,6.5,draftkings,0.38674807326593935,0.532258064516129,-0.14550999125018965,0.38674807326593935,0.5203045685279188,-0.1335564952619795,-0.14550999125018965,-0.011953495988210161,0.011953495988210161
192,ast,6.5,fanduel,0.38674807326593935,0.5467012037178121,-0.1599531304518727,0.38674807326593935,0.5141838223374939,-0.12743574907155458,-0.1599531304518727,-0.03251738138031812,0.03251738138031812
192,ast,6.5,fanduel,0.38674807326593935,0.5467012037178121,-0.1599531304518727,0.38674807326593935,0.5141838223374939,-0.12743574907155458,-0.1599531304518727,-0.03251738138031812,0.03251738138031812
192,ast,6.5,fanduel,0.38674807326593935,0.5457986373959123,-0.15905056412997293,0.38674807326593935,0.5141838223374939,-0.12743574907155458,-0.15905056412997293,-0.031614815058418344,0.031614815058418344
192,ast,6.5,fanduel,0.38674807326593935,0.5457986373959123,-0.15905056412997293,0.38674807326593935,0.5141838223374939,-0.12743574907155458,-0.15905056412997293,-0.031614815058418344,0.031614815058418344
192,ast,6.5,williamhill_us,0.38674807326593935,0.5351054952914531,-0.14835742202551377,0.38674807326593935,0.5399040981537924,-0.15315602488785302,-0.14835742202551377,0.004798602862339241,-0.004798602862339241
192,ast,6.5,betparx,0.38674807326593935,0.5209063395985983,-0.13415826633265898,0.38674807326593935,0.5209063395985983,-0.13415826633265898,-0.13415826633265898,0.0,0.0
192,ast,6.5,espnbet,0.38674807326593935,0.5306122448979592,-0.14386417163201987,0.38674807326593935,0.5306122448979592,-0.14386417163201987,-0.14386417163201987,0.0,0.0
192,ast,6.5,fliff,0.38674807326593935,0.5420560747663551,-0.15530800150041574,0.38674807326593935,0.5,-0.11325192673406065,-0.15530800150041574,-0.04205607476635509,0.04205607476635509
192,ast,6.5,hardrockbet,0.38674807326593935,0.5407914020517831,-0.15404332878584376,0.38674807326593935,0.5286532951289399,-0.14190522186300053,-0.15404332878584376,-0.012138106922843228,0.012138106922843228
192,ast,6.5,hardrockbet_az,0.38674807326593935,0.5407914020517831,-0.15404332878584376,0.38674807326593935,0.5286532951289399,-0.14190522186300053,-0.15404332878584376,-0.012138106922843228,0.012138106922843228
192,ast,6.5,hardrockbet_fl,0.38674807326593935,0.5286532951289399,-0.14190522186300053,0.38674807326593935,0.509478672985782,-0.12273059971984263,-0.14190522186300053,-0.019174622143157904,0.019174622143157904
192,fg3m,2.5,betmgm,0.37563756375637564,0.5203045685279188,-0.1446670047715432,0.37563756375637564,0.5203045685279188,-0.1446670047715432,-0.1446670047715432,0.0,0.0
192,fg3m,2.5,betonlineag,0.37563756375637564,0.5347344777795604,-0.15909691402318477,0.37563756375637564,0.5367701147140101,-0.1611325509576345,-0.15909691402318477,0.002035636934449747,-0.002035636934449747
