player_id,player_name,team_abbr,team_id,opponent,is_home,game_id,game,game_start_et,stat,role_bucket,role_source,mp_bucket,usage_bucket,minutes_mean,minutes_q50,p_inactive_used,support_min,support_max,line,market_fair_over_prob,market_source,market_offered_side,market_offered_odds,pmf_source,pmf_active
227,Brandon Ingram,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,reb,starter,derived_from_projected_minutes,3.0,0.0,,4.0,,0,,4.5,0.5598,betmgm,UNDER,118.0,predict.py:pmf_cal,"{""0"": 0.03424794712597637, ""1"": 0.06829561385940316, ""2"": 0.10805127178049269, ""3"": 0.1590226316843581, ""4"": 0.17444422191067496, ""5"": 0.15601842579611455, ""6"": 0.11806529140797117, ""7"": 0.08161425996394954, ""8"": 0.04756659323052274, ""9"": 0.02663729220909273, ""10"": 0.014820749048668137, ""11"": 0.007310234328059283, ""12"": 0.002904065691968756, ""13"": 0.001001401962747847}"
227,Brandon Ingram,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,fg3m,starter,derived_from_projected_minutes,3.0,0.0,,1.0,,0,,1.5,0.4822,betway,UNDER,-110.0,predict.py:pmf_cal,"{""0"": 0.23562356235623563, ""1"": 0.33903390339033906, ""2"": 0.23222322232223222, ""3"": 0.11201120112011201, ""4"": 0.057805780578057804, ""15"": 0.0233023302330233}"
227,Brandon Ingram,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,blk,starter,derived_from_projected_minutes,3.0,0.0,,0.0,,0,,0.5,0.5146,betway,UNDER,-106.0,predict.py:raw,"{""0"": 0.6686331366863313, ""1"": 0.2713728627137286, ""2"": 0.030496950304969503, ""3"": 0.0038996100389961, ""4"": 0.003999600039996, ""5"": 0.0031996800319968005, ""6"": 0.0032996700329967, ""7"": 0.0029997000299970002, ""8"": 0.004399560043995601, ""9"": 0.0035996400359964, ""10"": 0.0040995900409959}"
3547299,Sam Merrill,CLE,6,TOR,True,21681990,Toronto Raptors @ Cleveland Cavaliers,,stl,rotation,derived_from_projected_minutes,2.0,0.0,,0.0,,0,,0.5,0.4237,betway,UNDER,-162.0,predict.py:raw,"{""0"": 0.7330266973302669, ""1"": 0.15848415158484153, ""2"": 0.0738926107389261, ""3"": 0.011698830116988301, ""4"": 0.0032996700329967, ""5"": 0.0036996300369963007, ""6"": 0.0026997300269973002, ""7"": 0.0026997300269973002, ""8"": 0.0037996200379962005, ""9"": 0.0031996800319968005, ""10"": 0.0034996500349965005}"
9,Jarrett Allen,CLE,6,TOR,True,21681990,Toronto Raptors @ Cleveland Cavaliers,,reb,rotation,derived_from_projected_minutes,2.0,0.0,,6.0,,0,,7.5,0.5514,caesars,UNDER,112.0,predict.py:pmf_cal,"{""0"": 0.015927076029249726, ""1"": 0.025443253531002703, ""2"": 0.046178503455874986, ""3"": 0.07122107582890913, ""4"": 0.09706501051788038, ""5"": 0.12641490533907643, ""6"": 0.13002103576079332, ""7"": 0.14063908644695983, ""8"": 0.09536211559651407, ""9"": 0.08654713012120605, ""10"": 0.056496043273565055, ""11"": 0.04096964840228388, ""12"": 0.024040869478112792, ""13"": 0.01642792747671041, ""14"": 0.012120605028548531, ""15"": 0.00801362315937093, ""16"": 0.0037063007112090552, ""17"": 0.0019032355003505959, ""18"": 0.0015025543423820495}"
1028029111,Ja'Kobe Walter,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,reb,rotation,derived_from_projected_minutes,2.0,0.0,,2.0,,0,,2.5,0.5575,betway,UNDER,116.0,predict.py:pmf_cal,"{""0"": 0.15274439102564102, ""1"": 0.22465945512820515, ""2"": 0.2405849358974359, ""3"": 0.1796875, ""4"": 0.10276442307692307, ""5"": 0.051181891025641024, ""6"": 0.027744391025641024, ""7"": 0.012219551282051284, ""8"": 0.006109775641025642, ""9"": 0.0023036858974358975}"
1028029111,Ja'Kobe Walter,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,stl,rotation,derived_from_projected_minutes,2.0,0.0,,0.0,,0,,1.5,0.3704,betparx,UNDER,-200.0,predict.py:raw,"{""0"": 0.5724572457245726, ""1"": 0.2607260726072607, ""2"": 0.10151015101510152, ""3"": 0.028002800280028006, ""4"": 0.004900490049004901, ""5"": 0.0061006100610061014, ""6"": 0.004500450045004501, ""7"": 0.004600460046004601, ""8"": 0.0061006100610061014, ""9"": 0.005300530053005301, ""10"": 0.005800580058005801}"
17896076,Evan Mobley,CLE,6,TOR,True,21681990,Toronto Raptors @ Cleveland Cavaliers,,pts,rotation,derived_from_projected_minutes,2.0,0.0,,15.0,,0,,16.5,0.4975,betway,UNDER,-102.0,predict.py:pmf_cal,"{""0"": 0.014507253626813408, ""1"": 0.013906953476738369, ""2"": 0.017008504252126064, ""3"": 0.013906953476738369, ""4"": 0.018009004502251125, ""5"": 0.026713356678339174, ""6"": 0.031915957978989495, ""7"": 0.027113556778389194, ""8"": 0.04172086043021511, ""9"": 0.03811905952976489, ""10"": 0.04122061030515258, ""11"": 0.04912456228114057, ""12"": 0.048124062031015505, ""13"": 0.05102551275637819, ""14"": 0.04912456228114057, ""15"": 0.0575287643821911, ""16"": 0.05482741370685343, ""17"": 0.05632816408204103, ""18"": 0.050725362681340674, ""19"": 0.04512256128064032, ""20"": 0.03631815907953977, ""21"": 0.03871935967983992, ""22"": 0.02831415707853927, ""23"": 0.029314657328664333, ""24"": 0.021210605302651328, ""25"": 0.016408204102051027, ""26"": 0.01680840420210105, ""27"": 0.014507253626813408, ""28"": 0.01310655327663832, ""29"": 0.007803901950975488, ""30"": 0.0058029014507253625, ""31"": 0.006703351675837919, ""32"": 0.004302151075537769, ""33"": 0.003501750875437719, ""34"": 0.0020010005002501254, ""35"": 0.0029014507253626812, ""36"": 0.0018009004502251126, ""37"": 0.0016008004002001002, ""55"": 0.0014007003501750877, ""80"": 0.0014007003501750877}"
17896076,Evan Mobley,CLE,6,TOR,True,21681990,Toronto Raptors @ Cleveland Cavaliers,,reb,rotation,derived_from_projected_minutes,2.0,0.0,,7.0,,0,,8.5,0.5423,caesars,UNDER,114.0,predict.py:pmf_cal,"{""0"": 0.012833366753559254, ""1"": 0.019550832163625426, ""2"": 0.03960296771606176, ""3"": 0.05995588530178463, ""4"": 0.08512131542009224, ""5"": 0.11339482654902747, ""6"": 0.1289352316021656, ""7"": 0.12562662923601361, ""8"": 0.11740525365951472, ""9"": 0.08542209745337878, ""10"": 0.06186083817926608, ""11"": 0.04982955684780429, ""12"": 0.039302185682775215, ""13"": 0.03078002807298977, ""14"": 0.01323440946460798, ""15"": 0.0072187687988770795, ""16"": 0.004912773210346902, ""17"": 0.003809905754962903, ""18"": 0.00120312813314618}"
17896076,Evan Mobley,CLE,6,TOR,True,21681990,Toronto Raptors @ Cleveland Cavaliers,,ast,rotation,derived_from_projected_minutes,2.0,0.0,,2.0,,0,,3.5,0.4449,betway,UNDER,-131.0,predict.py:pmf_cal,"{""0"": 0.1354302313933687, ""1"": 0.18501452469197638, ""2"": 0.20985675648602625, ""3"": 0.18451367324451567, ""4"": 0.1284183111289192, ""5"": 0.08404287288390264, ""6"": 0.038765902033456874, ""7"": 0.020434739056395874, ""8"": 0.009015326054292297, ""9"": 0.0032054492637483725, ""10"": 0.0013022137633977762}"
17896076,Evan Mobley,CLE,6,TOR,True,21681990,Toronto Raptors @ Cleveland Cavaliers,,stl,rotation,derived_from_projected_minutes,2.0,0.0,,0.0,,0,,0.5,0.5323,betparx,UNDER,100.0,predict.py:raw,"{""0"": 0.6207379262073791, ""1"": 0.24537546245375458, ""2"": 0.09929007099290069, ""3"": 0.004999500049995, ""4"": 0.0043995600439956, ""5"": 0.0040995900409958996, ""6"": 0.0035996400359963993, ""7"": 0.0035996400359963993, ""8"": 0.004999500049995, ""9"": 0.0042995700429957, ""10"": 0.004599540045995399}"
666423,RJ Barrett,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,pts,rotation,derived_from_projected_minutes,2.0,0.0,,18.0,,0,,19.5,0.4966,betway,UNDER,-108.0,predict.py:pmf_cal,"{""0"": 0.010812975570684821, ""1"": 0.009511413696435723, ""2"": 0.010712855426511814, ""3"": 0.013215859030837005, ""4"": 0.011814177012414898, ""5"": 0.017320784941930314, ""6"": 0.01672006407689227, ""7"": 0.02042450941129355, ""8"": 0.022927513015618742, ""9"": 0.027733279935923106, ""10"": 0.028534241089307168, ""11"": 0.027332799359231077, ""12"": 0.03634361233480176, ""13"": 0.04094913896676011, ""14"": 0.04485382458950741, ""15"": 0.049359231077292745, ""16"": 0.04175010012014417, ""17"": 0.04665598718462155, ""18"": 0.04485382458950741, ""19"": 0.0474569483380056, ""20"": 0.04825790949138967, ""21"": 0.04725670804965959, ""22"": 0.03874649579495394, ""23"": 0.03644373247897477, ""24"": 0.0328394072887465, ""25"": 0.03103724469363236, ""26"": 0.032739287144573484, ""27"": 0.026932318782539048, ""28"": 0.024429315178213857, ""29"": 0.0184221065278334, ""30"": 0.016519823788546256, ""31"": 0.01551862234681618, ""32"": 0.01461754104925911, ""33"": 0.010312374849819783, ""34"": 0.009010812975570683, ""35"": 0.006908289947937525, ""36"": 0.006007208650380457, ""37"": 0.003604325190228274, ""38"": 0.002002402883460152, ""39"": 0.002402883460152182, ""40"": 0.0027032438926712053, ""42"": 0.001201441730076091, ""49"": 0.0014016820184221065, ""80"": 0.0014016820184221065}"
666423,RJ Barrett,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,reb,rotation,derived_from_projected_minutes,2.0,0.0,,4.0,,0,,5.5,0.4483,fanatics,UNDER,-127.0,predict.py:pmf_cal,"{""0"": 0.04838709677419356, ""1"": 0.09406932478461232, ""2"": 0.11891404528150673, ""3"": 0.15988779803646566, ""4"": 0.15748347024644363, ""5"": 0.14606291324383894, ""6"": 0.10999799639350832, ""7"": 0.06892406331396515, ""8"": 0.04758565417751954, ""9"": 0.02604688439190543, ""10"": 0.011220196353436187, ""11"": 0.006511721097976358, ""12"": 0.003506311360448808, ""13"": 0.0014025245441795233}"
666423,RJ Barrett,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,ast,rotation,derived_from_projected_minutes,2.0,0.0,,3.0,,0,,3.5,0.478,betway,UNDER,-114.0,predict.py:pmf_cal,"{""0"": 0.08254858745742336, ""1"": 0.13554397916249247, ""2"": 0.18122620717291124, ""3"": 0.18904027249048286, ""4"": 0.16940492887196953, ""5"": 0.10849529152474452, ""6"": 0.06992586655980765, ""7"": 0.03426167100781406, ""8"": 0.017932278100581043, ""9"": 0.007613704668403125, ""10"": 0.002404327790022039, ""11"": 0.0016028851933480265}"
1057268940,Collin Murray-Boyles,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,reb,bench,derived_from_projected_minutes,1.0,0.0,,4.0,,0,,6.5,0.5449,caesars,UNDER,114.0,predict.py:pmf_cal,"{""0"": 0.05102756892230576, ""1"": 0.07979949874686716, ""2"": 0.12240601503759398, ""3"": 0.13213032581453635, ""4"": 0.1399498746867168, ""5"": 0.13854636591478695, ""6"": 0.09303258145363408, ""7"": 0.08421052631578947, ""8"": 0.05463659147869674, ""9"": 0.04170426065162907, ""10"": 0.023859649122807018, ""11"": 0.015338345864661653, ""12"": 0.008721804511278195, ""13"": 0.0069172932330827065, ""14"": 0.003609022556390977, ""15"": 0.002807017543859649, ""16"": 0.0013032581453634084}"
1057268940,Collin Murray-Boyles,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,blk,bench,derived_from_projected_minutes,1.0,0.0,,0.0,,0,,0.5,0.6366,draftkings,UNDER,165.0,predict.py:raw,"{""0"": 0.6623, ""1"": 0.2262, ""2"": 0.0807, ""3"": 0.0045, ""4"": 0.0039, ""5"": 0.0035, ""6"": 0.0032, ""7"": 0.0033, ""8"": 0.0045, ""9"": 0.0038, ""10"": 0.0041}"
373,Jakob Poeltl,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,reb,bench,derived_from_projected_minutes,1.0,0.0,,4.0,,0,,5.5,0.4417,betmgm,UNDER,-135.0,predict.py:pmf_cal,"{""0"": 0.07075566245740629, ""1"": 0.1171577470434957, ""2"": 0.1380036079374624, ""3"": 0.1606534375626378, ""4"": 0.1353978753257166, ""5"": 0.11826017237923432, ""6"": 0.09290438965724596, ""7"": 0.06233714171176589, ""8"": 0.03808378432551614, ""9"": 0.023251152535578273, ""10"": 0.01633593906594508, ""11"": 0.011826017237923432, ""12"": 0.006313890559230307, ""13"": 0.004409701342954501, ""14"": 0.0019041892162758069, ""15"": 0.0013028663058729205, ""16"": 0.0011024253357386252}"
373,Jakob Poeltl,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,blk,bench,derived_from_projected_minutes,1.0,0.0,,0.0,,0,,0.5,0.5088,betparx,UNDER,-105.0,predict.py:raw,"{""0"": 0.6483, ""1"": 0.2427, ""2"": 0.0778, ""3"": 0.004, ""4"": 0.0043, ""5"": 0.0034, ""6"": 0.0035, ""7"": 0.0032, ""8"": 0.0047, ""9"": 0.0038, ""10"": 0.0043}"
17896055,Scottie Barnes,TOR,28,CLE,False,21681990,Toronto Raptors @ Cleveland Cavaliers,,pts,rotation,derived_from_projected_minutes,2.0,0.0,,16.0,,0,,19.5,0.4919,fanduel,UNDER,-109.0,predict.py:pmf_cal,"{""0"": 0.012710168134507606, ""1"": 0.014811849479583668, ""2"": 0.014611689351481185, ""3"": 0.016713370696557244, ""4"": 0.018014411529223378, ""5"": 0.021617293835068056, ""6"": 0.022518014411529223, ""7"": 0.02822257806244996, ""8"": 0.033526821457165734, ""9"": 0.041633306645316254, ""10"": 0.0461369095276221, ""11"": 0.048638911128903124, ""12"": 0.05104083266613291, ""13"": 0.04333466773418735, ""14"": 0.0483386709367494, ""15"": 0.037029623698959166, ""16"": 0.04273418734987991, ""17"": 0.0383306645316253, ""18"": 0.04533626901521217, ""19"": 0.042634107285828664, ""20"": 0.043034427542033626, ""21"": 0.033126501200960765, ""22"": 0.041633306645316254, ""23"": 0.03462770216172938, ""24"": 0.023718975180144115, ""25"": 0.02321857485988791, ""26"": 0.022317854283426742, ""27"": 0.02522017614091273, ""28"": 0.018815052041633307, ""29"": 0.015512409927942354, ""30"": 0.010908726981585268, ""31"": 0.007205764611689352, ""32"": 0.006605284227381905, ""33"": 0.00790632506004804, ""34"": 0.003903122497998399, ""35"": 0.005104083266613291, ""36"": 0.002201761409127302, ""37"": 0.001100880704563651, ""38"": 0.0019015212169735788, ""41"": 0.0012009607686148918, ""48"": 0.001401120896717374, ""80"": 0.001401120896717374}"
