stat,role_bucket,n,raw_model_logloss,active_model_logloss,market_logloss,raw_model_brier,active_model_brier,market_brier,delta_logloss_active_vs_market,delta_brier_active_vs_market,event_neutral_applied_count,pmf_mean_shift_applied_count,mean_bias_before,mean_bias_after,calibration_pass,model_better_calibrated,market_superiority_pass,bootstrap_ci_pass,strict_claimable,remaining_primary_blocker,remaining_secondary_blockers,next_repair_family,do_not_claim_reason,market_superiority_eligible,ledger_dominant_failure
pts,nan,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,
pts,bench,1472,0.6736752258369177,0.6736752258369177,0.6674951680364185,0.23797533008756042,0.23797533008756042,0.23781209549806515,0.006180057800499239,0.00016323458949527025,0,0,-0.34547667572463775,-0.34547667572463775,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_logloss_not_better
pts,core,4922,0.7237672440617797,0.6842439100467348,0.6560838099622692,0.261730857149307,0.24562772927445714,0.23229362969234055,0.028160100084465567,0.013334099582116593,4922,0,-2.1450832317486106,-2.1450832317486106,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
pts,fringe,110,0.37044414460253633,0.37044414460253633,0.6545119955869432,0.10946316565656565,0.10946316565656565,0.23085310582576293,-0.28406785098440684,-0.12138994016919728,0,0,-0.50210606060606,-0.50210606060606,False,False,True,True,False,calibration_pass_false,nan,monotone_pit_repair,calibration_fail,True,nan
pts,inactive_risk,143,1.2176763475075496,0.8457280208362327,0.7038506756070041,0.44572337062937073,0.3226056678321678,0.2540236118203488,0.14187734522922857,0.06858205601181899,143,0,-12.750195804195807,-12.750195804195807,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
pts,rotation,2319,0.6743097701771102,0.6743097701771102,0.6698355216339096,0.24020080930477697,0.24020080930477697,0.23883668705442512,0.004474248543200665,0.0013641222503518458,0,0,-0.9558079632025307,-0.9558079632025307,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,mean_too_low
pts,starter,5214,0.6303613479739698,0.6303613479739698,0.6332883801257336,0.2194600000852406,0.2194600000852406,0.2219312278095209,-0.00292703215176382,-0.002471227724280295,0,0,-2.3981451221071466,-2.3981451221071466,False,False,True,False,False,bootstrap_ci_not_better,bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,calibration_fail|bootstrap_math_fail,True,nan
pts,unknown,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
reb,nan,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,
reb,bench,793,0.7399642024241304,0.7399642024241304,0.6707457812651904,0.26957581252627155,0.26957581252627155,0.2390302101053809,0.06921842115894006,0.03054560242089066,793,0,-0.16760613703236665,-0.16760613703236665,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
reb,core,3154,0.7017954240585963,0.6805861436520741,0.6671569338803338,0.25283952441344326,0.24384642728809977,0.23727218931917962,0.013429209771740336,0.006574237968920149,3154,0,-1.0440115197632636,-1.0440115197632636,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
reb,fringe,69,0.6791719598563125,0.6791719598563125,0.6739390924117109,0.2357507713365539,0.2357507713365539,0.24213477731819338,0.005232867444601608,-0.00638400598163949,0,0,-1.2320917874396131,-1.2320917874396131,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
reb,inactive_risk,70,1.285713819141248,1.285713819141248,0.655167783363663,0.4933410857142857,0.4933410857142857,0.23152878125592027,0.6305460357775851,0.26181230445836545,0,0,-3.121928571428571,-3.121928571428571,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
reb,rotation,1483,0.6935397558710649,0.6935397558710649,0.6521695833916533,0.25045122469468795,0.25045122469468795,0.2307305017056273,0.04137017247941155,0.019720722989060635,1483,0,-0.38916430658574963,-0.38916430658574963,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
reb,starter,2828,0.6644586293737793,0.6611609345115084,0.6564207516277516,0.23669633718371838,0.23511239302685227,0.23259668880871373,0.004740182883756772,0.0025157042181385425,0,2828,-0.5125722536539369,-0.4083753253182461,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,mean_too_low
reb,unknown,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
ast,nan,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,
ast,bench,177,0.7409986193426087,0.7409986193426087,0.6621068846722294,0.26996628688010044,0.26996628688010044,0.23455215521122608,0.07889173467037924,0.03541413166887436,177,0,-0.7853521657250473,-0.7853521657250473,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
ast,core,2064,0.7276461253596858,0.7276461253596858,0.6659658507479521,0.26540354139750216,0.26540354139750216,0.23714504415012014,0.06168027461173364,0.028258497247382025,2064,0,-0.7224113372093024,-0.7224113372093024,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
